"varname","term","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3","AICcdiff"
"ice_out_doy","(Intercept)",130,52,156,2.524,0.013,29.31,-853.9,1728,1708,0.009397,0.07372,2,2,"ice_out_doy_solar_jas","vari1","value_formodel ~ solar_jas","~1 | park_site","value","0","","","","","","",177,1712,"vari1",4
"ice_out_doy","solar_jas",0.012,0.011,19,1.051,0.31,29.31,-853.9,1728,1708,0.009397,0.07372,2,2,"ice_out_doy_solar_jas","vari1","value_formodel ~ solar_jas","~1 | park_site","value","","1","","","","","",177,1712,"vari1",4
"ice_out_doy","(Intercept)",190,4,156,47.5,1.1e-94,29.3,-854.2,1729,1708,0.003126,0.07468,2,2,"ice_out_doy_Volume_m3","vari1","value_formodel ~ Volume_m3","~1 | park_site","value","0","","","","","","",177,1713,"vari1",5
"ice_out_doy","volume",-2e-05,3.3e-05,19,-0.6027,0.55,29.3,-854.2,1729,1708,0.003126,0.07468,2,2,"ice_out_doy_Volume_m3","vari1","value_formodel ~ Volume_m3","~1 | park_site","value","","1","","","","","",177,1713,"vari1",5
"K","(Intercept)",0.16,0.013,154,12.53,2.7e-25,0.0283,342.2,-663.7,-684.4,0.06095,0.7878,2,2,"K_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",176,-680.3,"vari1",2.70000000000005
"K","SWE",-0.00022,3.9e-05,154,-5.678,6.6e-08,0.0283,342.2,-663.7,-684.4,0.06095,0.7878,2,2,"K_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",176,-680.3,"vari1",2.70000000000005
"K","(Intercept)",0.2,0.019,154,10.75,1.9e-20,0.02929,337.8,-654.9,-675.6,0.03787,0.754,2,2,"K_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",176,-671.5,"vari1",11.5
"K","iceout_doy",-0.00038,8e-05,154,-4.685,6.1e-06,0.02929,337.8,-654.9,-675.6,0.03787,0.754,2,2,"K_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",176,-671.5,"vari1",11.5
"K","(Intercept)",0.11,0.013,154,8.963,9.9e-16,0.02952,335.4,-650.2,-670.8,0.02425,0.768,2,2,"K_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","0","","","","","","",176,-666.8,"vari1",16.2
"K","days_since_iceout",0.00035,8.5e-05,154,4.101,6.6e-05,0.02952,335.4,-650.2,-670.8,0.02425,0.768,2,2,"K_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","","1","","","","","",176,-666.8,"vari1",16.2
