"variable","snowyr","model","term","val","std.error","pval","AICc","AICcdiff"
"DO_top2m","hi","2_936","NH4_dep_2000_2009",0.439,0.269,0.111,587,2
"DO_top2m","hi","2_761","NO3_dep_1990_1999",-0.516,0.239,0.0373,587,2
"DO_top2m","hi","2_630","quartzmonzonite",0.0201,0.00966,0.0448,587,2
"DO_top2m","hi","2_902","NO3_dep_1990_1999",-0.531,0.24,0.0332,587,2
"DO_top2m","hi","2_902","NH4_dep_1990_1999",3.51,1.42,0.018,587,2
"DO_top2m","hi","2_1048","SO4_dep_1985_2015",0.0515,0.029,0.0835,587,2
"DO_top2m","hi","2_1048","quartzmonzonite",0.0194,0.00973,0.0535,587,2
"DO_top2m","hi","2_1071","SO4_dep_1990_1999",0.0424,0.0237,0.0811,587,2
"DO_top2m","hi","2_1032","NO3_dep_2010_2014",0.119,0.0452,0.0124,587,2
"DO_top2m","hi","2_922","NO3_dep_1990_1999",-0.388,0.193,0.0512,587,2
"DO_top2m","hi","2_922","NH4_dep_2000_2009",3.59,1.53,0.0243,587,2
"DO_top2m","hi","2_547","NH4_dep_2000_2009",1.52,0.545,0.00823,587,2
"DO_top2m","hi","2_1087","SO4_dep_2010_2014",0.106,0.0408,0.0137,587,2
"DO_top2m","hi","2_860","NO3_dep_2000_2009",-0.711,0.337,0.0416,587,2
"DO_top2m","hi","2_860","NH4_dep_1985_2015",3.88,1.65,0.0238,587,2
"DO_top2m","hi","2_933","granodiorite",-0.0122,0.00589,0.0448,587,2
"DO_top2m","hi","2_870","NH4_dep_1985_2015",0.629,0.234,0.0107,587,2
"DO_top2m","hi","2_762","NO3_dep_2000_2009",-0.529,0.272,0.0601,587,2
"DO_top2m","hi","2_745","N_dep_1985_2015",0.292,0.108,0.0103,587,2
"DO_top2m","hi","2_823","granodiorite",-0.0136,0.00609,0.0316,587,2
"DO_top2m","hi","2_772","N_dep_1985_1989",0.333,0.122,0.00948,587,2
