"varname","term","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3","AICcdiff"
"Cope","(Intercept)",2800,2100,101,1.346,0.18,3511,-1224,2477,2448,0.09534,0.6878,4,4,"Cope_Watertemp+Chl+Ca","vari1+vari2+vari3","value_formodel ~ Watertemp + Chl + Ca","~1 | park_site","value","0","","","","","","",125,2456,"vari1vari2vari3",0
"Cope","Ca",84,260,101,0.3241,0.75,3511,-1224,2477,2448,0.09534,0.6878,4,4,"Cope_Watertemp+Chl+Ca","vari1+vari2+vari3","value_formodel ~ Watertemp + Chl + Ca","~1 | park_site","value","","","2","","","","",125,2456,"vari1vari2vari3",0
"Cope","Watertemp",-23,100,101,-0.2275,0.82,3511,-1224,2477,2448,0.09534,0.6878,4,4,"Cope_Watertemp+Chl+Ca","vari1+vari2+vari3","value_formodel ~ Watertemp + Chl + Ca","~1 | park_site","value","","","","3","","","",125,2456,"vari1vari2vari3",0
"Cope","Chl",2000,420,101,4.772,6.2e-06,3511,-1224,2477,2448,0.09534,0.6878,4,4,"Cope_Watertemp+Chl+Ca","vari1+vari2+vari3","value_formodel ~ Watertemp + Chl + Ca","~1 | park_site","value","","1","","","","","",125,2456,"vari1vari2vari3",0
"DO","(Intercept)",11,0.51,109,22.01,6.5e-42,1.759,-263.8,557,527.7,0.1663,0.1663,4,4,"DO_days_since_iceout+Watertemp+Chl","vari1+vari2+vari3","value_formodel ~ days_since_iceout + Watertemp + Chl","~1 | park_site","value","0","","","","","","",133,536,"vari1vari2vari3",0
"DO","Watertemp",-0.15,0.038,109,-3.836,0.00021,1.759,-263.8,557,527.7,0.1663,0.1663,4,4,"DO_days_since_iceout+Watertemp+Chl","vari1+vari2+vari3","value_formodel ~ days_since_iceout + Watertemp + Chl","~1 | park_site","value","","1","","","","","",133,536,"vari1vari2vari3",0
"DO","days_since_iceout",-0.011,0.0058,109,-1.851,0.067,1.759,-263.8,557,527.7,0.1663,0.1663,4,4,"DO_days_since_iceout+Watertemp+Chl","vari1+vari2+vari3","value_formodel ~ days_since_iceout + Watertemp + Chl","~1 | park_site","value","","","2","","","","",133,536,"vari1vari2vari3",0
"DO","Chl",0.22,0.17,109,1.253,0.21,1.759,-263.8,557,527.7,0.1663,0.1663,4,4,"DO_days_since_iceout+Watertemp+Chl","vari1+vari2+vari3","value_formodel ~ days_since_iceout + Watertemp + Chl","~1 | park_site","value","","","","3","","","",133,536,"vari1vari2vari3",0
"DO","(Intercept)",10,0.69,109,14.94,4e-28,1.765,-264.3,557.9,528.6,0.1607,0.1607,4,4,"DO_SWE_May_snotel+Watertemp+Chl","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Watertemp + Chl","~1 | park_site","value","0","","","","","","",133,536.9,"vari1vari2vari3",0.899999999999977
"DO","Watertemp",-0.16,0.037,109,-4.264,4.3e-05,1.765,-264.3,557.9,528.6,0.1607,0.1607,4,4,"DO_SWE_May_snotel+Watertemp+Chl","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Watertemp + Chl","~1 | park_site","value","","1","","","","","",133,536.9,"vari1vari2vari3",0.899999999999977
"DO","SWE",0.0037,0.0023,109,1.595,0.11,1.765,-264.3,557.9,528.6,0.1607,0.1607,4,4,"DO_SWE_May_snotel+Watertemp+Chl","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Watertemp + Chl","~1 | park_site","value","","","2","","","","",133,536.9,"vari1vari2vari3",0.899999999999977
"DO","Chl",0.24,0.18,109,1.362,0.18,1.765,-264.3,557.9,528.6,0.1607,0.1607,4,4,"DO_SWE_May_snotel+Watertemp+Chl","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Watertemp + Chl","~1 | park_site","value","","","","3","","","",133,536.9,"vari1vari2vari3",0.899999999999977
"DO","(Intercept)",11,0.5,110,21.97,4.9e-42,1.782,-265.6,555.6,531.2,0.144,0.144,3,3,"DO_Watertemp+Chl","vari1+vari2","value_formodel ~ Watertemp + Chl","~1 | park_site","value","0","","","","","","",133,537.4,"vari1vari2",1.39999999999998
